stem,why,queued_on,status,chars,done_on
Middleborough2026,"raw_ocr kept the headings and lost every candidate row: it reads ""Select Board (Vote for 2) / 956 490 614 466 716 650 756| 4648 |"" with no names at all. The page renders clean at 150dpi and the record matches it exactly.",2026-09-06,waiting,,
Pelham2022,"raw_ocr kept every office heading and lost all eleven tables (""| SELECT BOARD (One for Three Years) LIBRARY TRUSTEES (Two for Three Years)"" then nothing). Page renders clean at 150dpi; record matches it exactly.",2026-09-06,waiting,,
Buckland2022,"clean 3-page scan, never OCR'd: markdown is ""<!-- image -->"" only and there is no raw_ocr, so 0/29 names grounded against a fully legible document.",2026-09-06,waiting,,
Springfield2025,"the raw_ocr is TRUNCATED: 1,605 lines covering wards 1-5 only, ending mid-document under ""School Committee District 2"", against a 73-page PDF. Wards 6, 7, 8 and School Committee District 3 never appear in it, which is why seven names grounded nowhere. Page 55 renders clean at 120dpi and prints all of them.",2026-09-06,waiting,,
Newton2025,"the OCR shreds a 1008x612pt landscape table: cells scatter across rows, headings lose their spaces (""SCHOOLCOMMITTEE-W2""), and five candidate rows vanish entirely. Pages 2 and 3 render clean at 200dpi and print all five.",2026-09-06,waiting,,
Webster2021,"the markdown extraction shreds the precinct tables and drops whole candidate rows: the REDEVELOPMENT AUTHORITY block loses ""Kenneth L. Pizzetti"" entirely, leaving only stray figures. Page 2 renders clean at 150dpi.",2026-09-06,waiting,,
Milford2023,"the markdown extraction merges whole write-in rows into one cell (""| Pat lacovelli ChaseFilosa WillKingkade | 0 | 0 0 |..."") and turns the capital I of Iacovelli into a lowercase l. Page 1 renders clean at 140dpi.",2026-09-06,waiting,,
Washington2024,held OCR is noise but the PDF has a clean text layer; the OCR should be replaced or dropped,2026-09-06,waiting,,
Boston2021,"right document, unreadable OCR. data/raw_ocr/Boston2021.txt keeps ""CITY OF BOSTON MUNICIPAL ELECTION - NOVEMBER 2, 2021 MAYOR VOTES CAST BY WARD"" and renders every table under it as ""[canomares [+ [?]2]*]s]*]7]"". 11 pages, 25 names and 36 figures none of which can ground until the tables read. Largest municipality in the corpus.",2026-09-06,waiting,,
Boston2023,"right document, unreadable OCR. data/raw_ocr/Boston2023.txt keeps ""CITY OF BOSTON MUNICIPAL ELECTION - NOVEMBER 7, 2023 CITY COUNCILLOR AT LARGE VOTES CAST BY WARD"" and collapses the tables to ""[ewes Ts [TT [e [7]"". 25 names and 45 figures ungroundable until re-read.",2026-09-06,waiting,,
Wilmington2026,"right document, tables lost. ""TOTAL TALLY SHEET - OFFICIAL RESULTS / TOWN OF WILMINGTON - ANNUAL TOWN ELECTION / Saturday, April 25, 2026"" reads; candidate rows come out as ""eam Babe 500888 Arian Babu"". 9 names, 17 figures.",2026-09-06,waiting,,
NorthReading2026,"right document, tables lost. ""MAY 5, 2026 OFFICIAL RESULTS NORTH READING"" reads; the tally is runs of underscores -- ""[SELECT BOARD VvoefroNE_______"". 7 names, 12 figures.",2026-09-06,waiting,,
Ashland2026,"right document, tables lost. ""ASHLAND ANNUAL TOWN ELECTION, MAY 19, 2026 OFFICIAL RESULTS TALLY SHEET"" reads, and one candidate line partly survived (""DAVIDA.KINSWAN""); the rest is ""wee CdTSTCtSSCCSSC"". 11 names, 19 figures.",2026-09-06,waiting,,
Tyngsborough2026,"right document, tables lost. ""ANNUAL TOWN ELECTION Tuesday, May 19, 2026 OFFICIAL RESULTS"" reads; candidate rows are ""RD GO QO"". 20 names, 42 figures. The OCR never prints the town name either, so this stem also carries a document_self_identifies NOTE that a re-read should clear.",2026-09-06,waiting,,
Medway2021,"right document, tables lost. ""ANNUAL TOWN ELECTION MAY 18, 2021"" and the office headings with seat counts (""SELECT BOARD Vote for one 3 year term"") read; figures survive only in fragments (""Blanks ata 808""). 14 names, 36 figures. Town name is not printed in the OCR.",2026-09-06,waiting,,
Lynnfield2021,"right document, tables lost. ""ELECTION RESULTS - APRIL 13, 2021 - final"" reads and the precinct TOTALS rows survive (""TOTALS 374 225 217 303 1119""), but no candidate row does. 10 names, 24 figures. Town name is not printed in the OCR.",2026-09-06,waiting,,
Ayer2026,"right document, tables lost. ""Town of Ayer Official Election Results / Annual Town Election May 12, 2026"" and the turnout block read; candidate rows are ""a ee ee Se ee"". 12 names, 22 figures.",2026-09-06,waiting,,
Chatham2022,"right document, tally lost. data/raw_ocr/Chatham2022.txt reads the minutes in full prose, including ""At the time of this Election there were 6,170 registered voters in Chatham, 1,089 ballots were cast (17%)"", and renders the results table as ""a BLANKS S| | a"". All three contests in the record close exactly on 1089 x seats, so the record is corroborated by the one figure that did read.",2026-09-06,waiting,,
Pelham2023,"right document, tables lost. ""ANNUAL TOWN ELECTION MAY 16, 2023"" and the office headings read, including two notes worth capturing -- ""FAILURE TO ELECT"" and ""#Two write-ins received one vote each"". No figures. 10 names, 27 figures.",2026-09-06,waiting,,
