stem,why,queued_on,status,chars,done_on
Boston2021,"right document, unreadable OCR. data/raw_ocr/Boston2021.txt keeps ""CITY OF BOSTON MUNICIPAL ELECTION - NOVEMBER 2, 2021 MAYOR VOTES CAST BY WARD"" and renders every table under it as ""[canomares [+ [?]2]*]s]*]7]"". 11 pages, 25 names and 36 figures none of which can ground until the tables read. Largest municipality in the corpus.",2026-09-06,waiting,,
Boston2023,"right document, unreadable OCR. data/raw_ocr/Boston2023.txt keeps ""CITY OF BOSTON MUNICIPAL ELECTION - NOVEMBER 7, 2023 CITY COUNCILLOR AT LARGE VOTES CAST BY WARD"" and collapses the tables to ""[ewes Ts [TT [e [7]"". 25 names and 45 figures ungroundable until re-read.",2026-09-06,waiting,,
Middleborough2026,"right document, tables lost. data/raw_ocr/Middleborough2026.txt keeps ""TOWN OF MIDDLEBOROUGH RECORD OF : Annual Town Election OFFICIAL RESULTS : Saturday, April 4, 2026"" and every office heading with its printed seat count (""Select Board (Vote for 2)""), but only the TOTALS row of each table -- the candidate rows never read. The record sums to the printed totals exactly in all nine contests, so it is verified against the document even though nothing grounds.",2026-09-06,waiting,,
Wilmington2026,"right document, tables lost. ""TOTAL TALLY SHEET - OFFICIAL RESULTS / TOWN OF WILMINGTON - ANNUAL TOWN ELECTION / Saturday, April 25, 2026"" reads; candidate rows come out as ""eam Babe 500888 Arian Babu"". 9 names, 17 figures.",2026-09-06,waiting,,
NorthReading2026,"right document, tables lost. ""MAY 5, 2026 OFFICIAL RESULTS NORTH READING"" reads; the tally is runs of underscores -- ""[SELECT BOARD VvoefroNE_______"". 7 names, 12 figures.",2026-09-06,waiting,,
Ashland2026,"right document, tables lost. ""ASHLAND ANNUAL TOWN ELECTION, MAY 19, 2026 OFFICIAL RESULTS TALLY SHEET"" reads, and one candidate line partly survived (""DAVIDA.KINSWAN""); the rest is ""wee CdTSTCtSSCCSSC"". 11 names, 19 figures.",2026-09-06,waiting,,
Tyngsborough2026,"right document, tables lost. ""ANNUAL TOWN ELECTION Tuesday, May 19, 2026 OFFICIAL RESULTS"" reads; candidate rows are ""RD GO QO"". 20 names, 42 figures. The OCR never prints the town name either, so this stem also carries a document_self_identifies NOTE that a re-read should clear.",2026-09-06,waiting,,
Medway2021,"right document, tables lost. ""ANNUAL TOWN ELECTION MAY 18, 2021"" and the office headings with seat counts (""SELECT BOARD Vote for one 3 year term"") read; figures survive only in fragments (""Blanks ata 808""). 14 names, 36 figures. Town name is not printed in the OCR.",2026-09-06,waiting,,
Lynnfield2021,"right document, tables lost. ""ELECTION RESULTS - APRIL 13, 2021 - final"" reads and the precinct TOTALS rows survive (""TOTALS 374 225 217 303 1119""), but no candidate row does. 10 names, 24 figures. Town name is not printed in the OCR.",2026-09-06,waiting,,
Ayer2026,"right document, tables lost. ""Town of Ayer Official Election Results / Annual Town Election May 12, 2026"" and the turnout block read; candidate rows are ""a ee ee Se ee"". 12 names, 22 figures.",2026-09-06,waiting,,
Chatham2022,"right document, tally lost. data/raw_ocr/Chatham2022.txt reads the minutes in full prose, including ""At the time of this Election there were 6,170 registered voters in Chatham, 1,089 ballots were cast (17%)"", and renders the results table as ""a BLANKS S| | a"". All three contests in the record close exactly on 1089 x seats, so the record is corroborated by the one figure that did read.",2026-09-06,waiting,,
Pelham2022,"right document, tables lost. ""ANNUAL TOWN ELECTION MAY 17, 2022"" and every office heading with its seat count (""SELECT BOARD (One for Three Years)"") read; no figures at all. 10 names, 27 figures. Town name is not printed in the OCR.",2026-09-06,waiting,,
Pelham2023,"right document, tables lost. ""ANNUAL TOWN ELECTION MAY 16, 2023"" and the office headings read, including two notes worth capturing -- ""FAILURE TO ELECT"" and ""#Two write-ins received one vote each"". No figures. 10 names, 27 figures.",2026-09-06,waiting,,
Washington2024,"right document, tables lost. ""TOWN OF WASHINGTON ANNUAL TOWN ELECTION SATURDAY, MAY 18, 2024"" and the office headings read; rows are ""Writeinss Ssst~=<idtCSOSS"". 19 names, 25 figures.",2026-09-06,waiting,,
Dunstable2025,"no usable reading held. data/markdown/Dunstable2025.md is 1,117 replacement characters out of 1,255 -- a mis-decoded extraction, not a document. data/pdftext/Dunstable2025.txt holds 94 chars (""Write-Ins / TOTAL NUMBER OF REGISTERED VOTERS 2697 / % VOTER TURNOUT 33%"") and nothing else. 3 pages, 14 names, 36 figures, none of them readable anywhere.",2026-09-06,waiting,,
Buckland2022,"nothing readable is held at all. data/markdown/Buckland2022.md is 194 bytes: one empty markdown table rule and ten ""<!-- image -->"" placeholders. data/pdftext is 3 bytes. 3 pages, 29 names and 43 figures with no text of any kind behind them -- this is the largest ungrounded record in the corpus with no reading.",2026-09-06,waiting,,
